SG_PARTIDO,SG_UF,NM_URNA_CANDIDATO,NM_CANDIDATO,ELEITO_ANTERIOR,DS_GENERO,DS_COR_RACA,receita_total,QT_VOTOS_NOMINAIS,POSICAO,QT_VAGAS,ELEITO_REAL,ELEITO_DISTRITAO,DS_SIT_TOT_TURNO
PTB,PR,LUISA CANZIANI,LUISA DOS SANTOS SILVEIRA,1a ELEIÇÃO,FEMININO,BRANCA,2260803.67,90249,18,30,1,1,ELEITO POR QP
PDT,MG,DR. MÁRIO HERINGER,MÁRIO LÚCIO HERINGER,REELEITO,MASCULINO,BRANCA,2265831.7,89046,28,53,1,1,ELEITO POR QP
PSL,SP,CARLA ZAMBELLI,CARLA ZAMBELLI SALGADO,1a ELEIÇÃO,FEMININO,BRANCA,517468.61,76306,62,70,1,1,ELEITO POR QP
PSL,SP,JOICE HASSELMANN,JOICE CRISTINA HASSELMANN,1a ELEIÇÃO,FEMININO,BRANCA,262592.32,1078666,2,70,1,1,ELEITO POR QP
Podemos,BA,BACELAR,JOÃO CARLOS BACELAR BATISTA,REELEITO,MASCULINO,BRANCA,965750.47,149274,3,39,1,1,ELEITO POR QP
PTB,MA,PEDRO LUCAS FERNANDES,PEDRO LUCAS ANDRADE FERNANDES RIBEIRO,1a ELEIÇÃO,MASCULINO,BRANCA,1260703.4000000004,111538,6,18,1,1,ELEITO POR QP
PSL,SP,GENERAL PETERNELLI,ROBERTO SEBASTIÃO PETERNELLI JUNIOR,1a ELEIÇÃO,MASCULINO,BRANCA,52562.88000000001,74190,66,70,1,1,ELEITO POR QP
PSB,SP,ROSANA VALLE,ROSANA DE OLIVEIRA VALLE,1a ELEIÇÃO,FEMININO,BRANCA,377148.25,106100,37,70,1,1,ELEITO POR QP
PT,PR,ZECA DIRCEU,JOSE CARLOS BECKER DE OLIVEIRA E SILVA,REELEITO,MASCULINO,BRANCA,993715.71,77306,21,30,1,1,ELEITO POR QP
DEM,RS,ONYX LORENZONI,ONYX DORNELLES LORENZONI,REELEITO,MASCULINO,BRANCA,1663630.0,183518,2,31,1,1,ELEITO POR QP
PT,PI,REJANE DIAS,REJANE RIBEIRO SOUSA DIAS,REELEITO,FEMININO,BRANCA,1149971.1000000006,138800,1,10,1,1,ELEITO POR QP
Republicanos,ES,AMARO NETO,AMARO ROCHA NASCIMENTO NETO,1a ELEIÇÃO,MASCULINO,BRANCA,1451448.0,181813,1,10,1,1,ELEITO POR QP
PSL,MG,CABO JUNIO AMARAL,GERALDO JUNIO DO AMARAL,1a ELEIÇÃO,MASCULINO,BRANCA,36147.88,158541,7,53,1,1,ELEITO POR QP
